State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Arecanut,1254.0,2000.0
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Other Kharif pulses,2.0,1.0
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Rice,102.0,321.0
Andaman and Nicobar Islands,NICOBARS,2000,Kharif,Rice,102.0,321.0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Banana,176.0,641.0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Cashewnut,720.0,165.0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Coconut,18168.0,65100000.0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Dry ginger,36.0,100.0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Sugarcane,1.0,2.0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Sweet potato,5.0,15.0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Tapioca,40.0,169.0
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Arecanut,1254.0,2061.0
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Other Kharif pulses,2.0,1.0
Andaman and Nicobar Islands,NICOBARS,2001,Kharif,Rice,83.0,300.0
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Cashewnut,719.0,192.0
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Coconut,18190.0,64430000.0
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Dry ginger,46.0,100.0
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Sugarcane,1.0,1.0
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Sweet potato,11.0,33.0
Andaman and Nicobar Islands,NICOBARS,2002,Kharif,Rice,189.2,510.84
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Arecanut,1258.0,2083.0
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Banana,213.0,1278.0
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Black pepper,63.0,13.5
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Cashewnut,719.0,208.0
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Coconut,18240.0,67490000.0
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Dry chillies,413.0,28.8
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Dry ginger,47.3,133.0
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Sugarcane,5.0,40.0
Andaman and Nicobar Islands,NICOBARS,2003,Kharif,Rice,52.0,90.17
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Arecanut,1261.0,1525.0
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Banana,266.0,1763.0
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Black pepper,75.5,15.86
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Cashewnut,717.0,208.5
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Coconut,18284.74,68580000.0
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Dry chillies,60.0,102.0
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,Dry ginger,102.0,326.4
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year,other oilseeds,4.2,0.3
Andaman and Nicobar Islands,NICOBARS,2004,Kharif,Rice,52.94,72.57
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Arecanut,1264.7,805.85
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year,Banana,66.42,404.12
